Zip_Code,County,,
15489,Fayette,,
15490,Fayette,,
15492,Fayette,,
15501,Somerset,,
15502,Somerset,,
15510,Somerset,,
15520,Somerset,,
15521,Bedford,,
15522,Bedford,,
15530,Somerset,,
15531,Somerset,,
15532,Somerset,,
15533,Bedford,,
15534,Bedford,,
15535,Bedford,,
15536,Fulton,,
15537,Bedford,,
15538,Somerset,,
15539,Bedford,,
15540,Somerset,,
15541,Somerset,,
15542,Somerset,,
15544,Somerset,,
15545,Bedford,,
15546,Somerset,,
15547,Somerset,,
15548,Somerset,,
15549,Somerset,,
15550,Bedford,,
15551,Somerset,,
15552,Somerset,,
15553,Somerset,,
15554,Bedford,,
15555,Somerset,,
15557,Somerset,,
15558,Somerset,,
15559,Bedford,,
15560,Somerset,,
15561,Somerset,,
15562,Somerset,,
15563,Somerset,,
15564,Somerset,,
15565,Somerset,,
15601,Westmoreland,,
15605,Westmoreland,,
15606,Westmoreland,,
15610,Westmoreland,,
15611,Westmoreland,,
15612,Westmoreland,,
15613,Westmoreland,,
15615,Westmoreland,,
15616,Westmoreland,,
15617,Westmoreland,,
15618,Westmoreland,,
15619,Westmoreland,,
15620,Westmoreland,,
15621,Westmoreland,,
15622,Westmoreland,,
15623,Westmoreland,,
15624,Westmoreland,,
15625,Westmoreland,,
15626,Westmoreland,,
15627,Westmoreland,,
15628,Westmoreland,,
15629,Westmoreland,,
15631,Fayette,,
15632,Westmoreland,,
15633,Westmoreland,,
15634,Westmoreland,,
15635,Westmoreland,,
15636,Westmoreland,,
15637,Westmoreland,,
15638,Westmoreland,,
15639,Westmoreland,,
15640,Westmoreland,,
15641,Westmoreland,,
15642,Westmoreland,,
15644,Westmoreland,,
15646,Westmoreland,,
15647,Westmoreland,,
15650,Westmoreland,,
15655,Westmoreland,,
15656,Armstrong,,
15658,Westmoreland,,
15660,Westmoreland,,
15661,Westmoreland,,
15662,Westmoreland,,
15663,Westmoreland,,
15664,Westmoreland,,
15665,Westmoreland,,
15666,Westmoreland,,
15668,Westmoreland,,
15670,Westmoreland,,
15671,Westmoreland,,
15672,Westmoreland,,
15673,Armstrong,,
15674,Westmoreland,,
